target_name,pathogen_binary,sampling_date,site_code,field_id,bombus_spp,host_plant,bee_caste,sampling_event,pathogen_load
BQCV,1,5/9/20,CIND,1,impatiens,dandelion,queen,1,5247608.911
BQCV,1,7/7/20,BOST,14,impatiens,red clover,queen,2,582762.4534
BQCV,1,5/9/20,CIND,2,impatiens,dandelion,queen,1,1292857.221
BQCV,1,9/10/20,COL,37,impatiens,red clover,worker,4,302378.4899
BQCV,1,9/9/20,FLAN,44,impatiens,jewel weed,worker,4,610212.478
BQCV,1,5/9/20,CIND,14,impatiens,dandelion,queen,1,1164478.736
BQCV,1,5/9/20,CIND,31,impatiens,flight,queen,1,61269.06858
BQCV,1,5/17/20,FLAN,4,impatiens,flight,queen,1,12337518.47
BQCV,1,8/3/20,FLAN,37,impatiens,crown vetch,worker,3,2986283.083
BQCV,1,9/10/20,COL,22,impatiens,red clover,worker,4,67527.50962
BQCV,1,8/3/20,FLAN,38,impatiens,crown vetch,worker,3,245765.2176
BQCV,1,9/10/20,COL,13,impatiens,red clover,worker,4,426157.4358
BQCV,1,8/3/20,FLAN,2,impatiens,crown vetch,worker,3,36457025372
BQCV,NA,8/3/20,BOST,22,impatiens,red clover,worker,3,NA
BQCV,1,8/3/20,FLAN,30,impatiens,crown vetch,worker,3,427933.9735
BQCV,1,8/3/20,BOST,17,impatiens,knot weed,male,3,8049923.967
BQCV,1,5/17/20,FLAN,19,impatiens,woody yellow ,queen,1,355098.2834
BQCV,0,9/10/20,COL,19,impatiens,red clover,worker,4,0
BQCV,1,9/10/20,COL,1,impatiens,red clover,worker,4,9808910.744
BQCV,1,9/10/20,COL,42,impatiens,red clover,worker,4,540047.8296
BQCV,1,8/3/20,FLAN,5,impatiens,crown vetch,worker,3,31338.03199
BQCV,1,8/3/20,FLAN,26,impatiens,crown vetch,worker,3,74235.81861
BQCV,1,8/3/20,FLAN,29,impatiens,crown vetch,worker,3,4860884.17
BQCV,1,7/6/20,MUDGE,5,impatiens,crown vetch,worker,2,5394648.33
BQCV,1,8/3/20,FLAN,9,impatiens,crown vetch,worker,3,10923483.95
BQCV,1,5/9/20,CIND,10,impatiens,dandelion,queen,1,2754065.982
BQCV,1,8/3/20,FLAN,39,impatiens,crown vetch,worker,3,24848.74151
BQCV,1,8/3/20,FLAN,40,impatiens,crown vetch,worker,3,326788.5041
BQCV,1,9/10/20,COL,48,impatiens,red clover,worker,4,107934.2342
BQCV,1,8/3/20,BOST,13,impatiens,red clover,worker,3,122591.3186
BQCV,1,8/3/20,FLAN,6,impatiens,crown vetch,worker,3,308792.2399
BQCV,1,9/10/20,COL,14,impatiens,red clover,worker,4,1576721.004
BQCV,1,8/3/20,BOST,16,impatiens,red clover,worker,3,260594.4759
BQCV,0,5/17/20,FLAN,5,impatiens,flight,queen,1,0
BQCV,1,5/17/20,BOST,6,impatiens,dandelion,queen,1,450965.5599
BQCV,1,5/17/20,BOST,37,impatiens,flight,queen,1,718026.7561
BQCV,1,5/17/20,BOST,17,impatiens,dandelion,queen,1,623933.6988
BQCV,1,7/11/20,CIND,13,impatiens,red clover,worker,2,174070.5135
BQCV,1,8/4/20,MUDGE,29,impatiens,crown vetch,worker,3,61208.82373
BQCV,0,8/3/20,FLAN,35,impatiens,crown vetch,worker,3,0
BQCV,1,8/3/20,FLAN,11,impatiens,crown vetch,worker,3,618371.934
BQCV,1,8/3/20,FLAN,20,impatiens,crown vetch,worker,3,5701034.925
BQCV,1,7/6/20,MUDGE,4,impatiens,crown vetch,worker,2,434218.7072
BQCV,1,8/3/20,FLAN,27,impatiens,crown vetch,worker,3,1299436.995
BQCV,1,5/17/20,BOST,19,impatiens,flight,queen,1,5104085.509
BQCV,0,5/17/20,BOST,25,impatiens,flight,queen,1,0
BQCV,1,8/3/20,BOST,11,impatiens,red clover,worker,3,738805.2493
BQCV,1,5/17/20,BOST,3,impatiens,flight,queen,1,17980442.56
BQCV,NA,8/4/20,MUDGE,28,impatiens,crown vetch,worker,3,NA
BQCV,1,8/3/20,BOST,21,impatiens,red clover,worker,3,209169.4008
BQCV,1,8/3/20,FLAN,3,impatiens,crown vetch,worker,3,2122871.109
BQCV,1,5/17/20,BOST,12,impatiens,flight ,queen,1,39246481.72
BQCV,1,9/10/20,COL,12,impatiens,red clover,worker,4,245525.8
BQCV,1,9/10/20,COL,21,impatiens,red clover,worker,4,2487165.773
BQCV,1,9/9/20,FLAN,11,impatiens,jewel weed,worker,4,1256888.119
BQCV,1,8/3/20,BOST,18,impatiens,red clover,worker,3,585573.6525
BQCV,1,8/3/20,BOST,20,impatiens,red clover,worker,3,4503577.621
BQCV,1,8/3/20,FLAN,4,impatiens,crown vetch,worker,3,11464856.47
BQCV,1,8/3/20,FLAN,4,impatiens,crown vetch,worker,3,301055.0094
BQCV,1,5/17/20,BOST,32,impatiens,flight,queen,1,14676744.69
BQCV,1,5/17/20,BOST,32,impatiens,flight,queen,1,46938.5381
BQCV,1,9/10/20,COL,31,impatiens,red clover,worker,4,14842177.38
BQCV,0,9/10/20,COL,31,impatiens,red clover,worker,4,0
BQCV,1,9/10/20,COL,9,impatiens,red clover,worker,4,3581247.144
BQCV,1,9/10/20,COL,9,impatiens,red clover,worker,4,14730705.86
BQCV,1,8/3/20,FLAN,8,impatiens,crown vetch,worker,3,4908563.113
BQCV,1,8/3/20,FLAN,8,impatiens,crown vetch,worker,3,890305.1161
BQCV,1,9/10/20,COL,17,impatiens,red clover,worker,4,84437.53541
BQCV,1,9/10/20,COL,17,impatiens,red clover,worker,4,5271939.37
BQCV,1,5/17/20,FLAN,17,impatiens,mint,queen,1,52360.71536
BQCV,1,5/17/20,FLAN,17,impatiens,mint,queen,1,163841148.4
BQCV,1,5/17/20,BOST,10,impatiens,dandelion,queen,1,151227.4746
BQCV,0,8/3/20,FLAN,16,impatiens,crown vetch,worker,3,0
BQCV,1,8/3/20,BOST,4,impatiens,red clover,worker,3,24654207.84
BQCV,NA,5/17/20,FLAN,12,impatiens,dandelion,queen,1,NA
BQCV,1,8/4/20,MUDGE,2,impatiens,saint johns wort,worker,3,52360.71536
BQCV,1,5/17/20,BOST,20,impatiens,flight,queen,1,4033891.246
BQCV,1,8/3/20,BOST,19,impatiens,red clover,worker,3,2655300.769
BQCV,1,8/3/20,BOST,14,impatiens,red clover,worker,3,9095157.376
BQCV,1,9/10/20,COL,18,impatiens,flight,worker,4,6258156.771
BQCV,1,5/17/20,FLAN,2,impatiens,dandelion,queen,1,159667.1872
BQCV,1,5/17/20,BOST,4,impatiens,dandelion,queen,1,147160.5964
BQCV,1,8/3/20,BOST,6,impatiens,red clover,worker,3,5296788.705
BQCV,1,9/9/20,FLAN,32,impatiens,jewel weed,worker,4,127441.5235
BQCV,1,5/17/20,BOST,34,impatiens,flight,queen,1,94441.89648
BQCV,1,8/3/20,FLAN,14,impatiens,crown vetch,worker,3,5368945.289
BQCV,1,8/3/20,FLAN,33,impatiens,crown vetch,worker,3,929073.6026
BQCV,1,5/17/20,FLAN,1,impatiens,dandelion,queen,1,74898816.13
BQCV,1,5/17/20,FLAN,8,impatiens,flight,queen,1,313190.3742
BQCV,1,8/3/20,FLAN,18,impatiens,crown vetch,worker,3,20811964.2
BQCV,1,8/3/20,FLAN,15,impatiens,crown vetch,worker,3,370282.7155
BQCV,1,8/4/20,CIND,16,impatiens,red clover,worker,3,28088946.07
BQCV,1,8/4/20,CIND,3,impatiens,red clover,worker,3,2151307.082
BQCV,1,8/4/20,CIND,23,impatiens,red clover,worker,3,250610.6726
BQCV,1,9/10/20,COL,23,impatiens,red clover,worker,4,36033243.57
BQCV,1,8/4/20,CIND,15,impatiens,red clover,worker,3,100889.3857
BQCV,1,8/3/20,FLAN,13,impatiens,cr+H262own vetch,worker,3,22427345.12
BQCV,1,8/4/20,COL,11,impatiens,NA,worker,3,3106413.843
BQCV,1,8/4/20,COL,15,impatiens,jewlweed,worker,3,515859754.7
BQCV,1,5/19/20,MUDGE,29,impatiens,dandelion,queen,1,2655300.769
BQCV,1,5/19/20,COL,29,impatiens,dandelion,queen,1,53080779564
BQCV,1,8/4/20,COL,17,impatiens,red clover,worker,3,654161.4586
BQCV,1,5/19/20,COL,35,impatiens,dandelion,queen,1,13418152.92
BQCV,1,5/19/20,MUDGE,14,impatiens,dandelion,queen,1,796482.5687
BQCV,1,5/19/20,COL,28,impatiens,dandelion,queen,1,125927.9357
BQCV,1,8/4/20,COL,4,impatiens,red clover,worker,3,1337305.322
BQCV,1,5/19/20,MUDGE,45,impatiens,flight,queen,1,10763793.55
BQCV,1,5/19/20,COL,30,impatiens,flight,queen,1,850419.4097
BQCV,1,5/19/20,COL,32,impatiens,dandelion,queen,1,630146.3174
BQCV,1,8/4/20,COL,9,impatiens,red clover,worker,3,118549.1656
BQCV,0,5/19/20,COL,8,impatiens,flight,queen,1,0
BQCV,0,8/4/20,COL,5,impatiens,red clover,worker,3,0
BQCV,1,5/19/20,MUDGE,23,impatiens,dandelion,queen,1,352749.458
BQCV,1,8/4/20,COL,6,impatiens,red clover,worker,3,2318601.192
BQCV,1,7/6/20,FLAN,42,impatiens,red clover,worker,2,399109.5696
BQCV,1,7/6/20,FLAN,33,impatiens,crown vetch,worker,2,3274438.627
BQCV,1,5/19/20,COL,11,impatiens,dandelion,queen,1,292883.5181
BQCV,1,5/17/20,FLAN,6,vagans,dandelion,queen,1,187044.7005
BQCV,1,7/6/20,FLAN,3,impatiens,crown vetch,worker,2,22159974.91
BQCV,1,5/17/20,FLAN,19,impatiens,woody yellow ,queen,1,3697555.576
BQCV,1,7/6/20,FLAN,5,impatiens,saint johns wort,worker,2,829342.4634
BQCV,1,7/6/20,FLAN,36,impatiens,crown vetch,worker,2,4674828.649
BQCV,1,5/19/20,COL,6,impatiens,dandelion,queen,1,465800.823
BQCV,1,5/19/20,COL,9,impatiens,dandelion,queen,1,648355682.6
BQCV,1,7/6/20,FLAN,15,impatiens,red clover,worker,2,545615.7883
BQCV,1,5/19/20,COL,27,impatiens,dandelion,queen,1,355371.8121
BQCV,0,7/6/20,FLAN,40,impatiens,saint johns wort,worker,2,0
BQCV,1,5/17/20,FLAN,18,impatiens,violet ,queen,1,2027129.258
BQCV,1,7/6/20,FLAN,53,impatiens,red clover,worker,2,2620980.728
BQCV,1,7/6/20,FLAN,56,impatiens,red clover,worker,2,13548387.37
BQCV,NA,7/6/20,FLAN,55,impatiens,red clover,queen,2,NA
